text,entities
"I want a villa in Cap Cana with 5 bedrooms and 6 bathrooms for $850,000","[(9, 14, 'PROPERTY_TYPE'), (18, 26, 'LOCATION'), (32, 43, 'BEDROOMS'), (48, 60, 'BATHROOMS'), (65, 73, 'PRICE')]"
"Looking for a condo in Punta Cana for around $250,000 with 2 bedrooms","[(16, 21, 'PROPERTY_TYPE'), (25, 36, 'LOCATION'), (47, 55, 'PRICE'), (61, 71, 'BEDROOMS')]"
"Need a commercial space in Santo Domingo with 1 bathroom for $150,000","[(7, 23, 'PROPERTY_TYPE'), (27, 41, 'LOCATION'), (47, 57, 'BATHROOMS'), (62, 70, 'PRICE')]"
"Find me an apartment in Bávaro with 3 bedrooms and 2 bathrooms for $180,000","[(11, 20, 'PROPERTY_TYPE'), (24, 30, 'LOCATION'), (36, 47, 'BEDROOMS'), (52, 64, 'BATHROOMS'), (69, 77, 'PRICE')]"
"Searching for a building in La Romana with 10 bathrooms for $3,500,000","[(18, 26, 'PROPERTY_TYPE'), (30, 39, 'LOCATION'), (45, 58, 'BATHROOMS'), (63, 73, 'PRICE')]"
"I'd like a house in Santiago with 4 bedrooms for $220,000","[(12, 17, 'PROPERTY_TYPE'), (21, 29, 'LOCATION'), (35, 45, 'BEDROOMS'), (50, 58, 'PRICE')]"
"Looking for a penthouse in Santo Domingo Este with 3 bedrooms and ocean view for $480,000","[(16, 25, 'PROPERTY_TYPE'), (29, 48, 'LOCATION'), (54, 65, 'BEDROOMS'), (84, 92, 'PRICE')]"
"I need a condo in Juan Dolio with pool for $270,000","[(10, 15, 'PROPERTY_TYPE'), (19, 29, 'LOCATION'), (35, 39, 'AMENITY'), (45, 53, 'PRICE')]"
"Get me a villa in Jarabacoa with mountain view and 3 bathrooms for $390,000","[(10, 15, 'PROPERTY_TYPE'), (19, 28, 'LOCATION'), (34, 48, 'AMENITY'), (53, 65, 'BATHROOMS'), (70, 78, 'PRICE')]"
"Looking to buy a commercial space in Bavaro for $190,000","[(18, 34, 'PROPERTY_TYPE'), (38, 44, 'LOCATION'), (49, 57, 'PRICE')]"
I'm interested in a condo in Punta Cana with 1 bedrooms and 1 bathrooms for $200000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 90, 'PRICE')]"
I'm interested in a condo in Punta Cana with 2 bedrooms and 2 bathrooms for $210000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 94, 'PRICE')]"
I'm interested in a condo in Punta Cana with 3 bedrooms and 3 bathrooms for $220000,"[(21, 26, 'PROPERTY_TYPE'), (30, 41, 'LOCATION'), (47, 58, 'BEDROOMS'), (63, 75, 'BATHROOMS'), (80, 94, 'PRICE')]"
